afTimesInSeconds	afPressures1	afPressures2	afPressures3	afPressures4	afPressures5	afPressures6	afPressures7	afPressures8	afAveragePressure	abActiveZones
34.241	0.000	1.000	0.000	1.000	0.000	0.000	-1.000	-3.000	-0.288	0.000
34.358	0.000	1.000	0.000	1.000	0.000	0.000	-1.000	-3.000	-0.288	0.000
34.483	0.000	1.000	0.000	1.000	0.000	0.000	0.000	-2.000	-0.014	0.000
34.601	0.000	0.000	-1.000	1.000	0.000	0.000	0.000	-2.000	-0.297	0.000
34.716	0.000	0.000	-1.000	1.000	0.000	0.000	0.000	-2.000	-0.297	0.000
34.838	0.000	0.000	-1.000	1.000	0.000	0.000	0.000	-1.000	-0.166	0.000
34.956	0.000	1.000	-1.000	1.000	0.000	0.000	0.000	-1.000	-0.048	0.000
35.079	0.000	1.000	0.000	1.000	0.000	0.000	0.000	-1.000	0.118	0.000
35.204	0.000	1.000	0.000	1.000	0.000	0.000	0.000	-1.000	0.118	0.000
35.316	0.000	2.000	1.000	1.000	0.000	0.000	0.000	-2.000	0.269	0.000
35.442	0.000	2.000	1.000	1.000	0.000	0.000	0.000	-1.000	0.401	0.000
35.558	0.000	2.000	1.000	1.000	0.000	0.000	0.000	-1.000	0.401	0.000
35.675	0.000	2.000	1.000	1.000	0.000	0.000	-1.000	-2.000	0.127	0.000
35.861	0.000	2.000	1.000	1.000	0.000	0.000	-1.000	-2.000	0.127	0.000
35.975	0.000	2.000	1.000	1.000	0.000	0.000	-2.000	-3.000	-0.147	0.000
